id,Target
7313399730,25359
7308035814,25484
7317063645,4839
7310376764,17355
7309848062,24861
7308652719,35505
7309810883,17624
7315292919,7986
7315244945,5210
7307466396,14253
7313413824,9487
7316238284,18043
7312276431,22995
7305280252,25611
7302883143,56445
7312758319,4421
7314518589,22336
7310683757,20445
7314954949,33409
7314371573,9127
7315702010,26588
7311290356,9393
7307673879,16605
7316198295,3945
7310285295,13880
7310041658,13455
7312308204,9072
7315385121,19716
7316312745,15061
7313844269,37030
7315403730,15334
7312811677,35908
7313414155,12431
7308508526,16444
7307331476,4599
7309941935,18289
7312743685,12924
7316189838,11960
7309693455,6176
7315510035,7702
7306583485,5246
7315276034,21959
7314004250,28670
7314593301,22150
7314743066,39726
7316805114,43211
7315084900,3715
7307413052,45372
7304379175,37944
7303332246,10065
7316075328,23217
7316506428,25848
7314307933,16559
7310628389,12357
7310897370,13016
7316560942,6294
7316850950,13001
7316449248,50260
7311763741,9636
7315535558,23278
7315091662,11452
7314623929,18802
7311347504,9102
7314761571,18222
7313012692,27708
7305910335,16335
7313048856,12781
7313237338,13133
7307234981,10303
7316772101,23396
7316995252,2267
7314903713,40457
7314651199,7971
7310333211,10496
7312358702,37080
7315710226,2131
7313546237,16652
7308093136,6221
7302835230,10266
7307360947,22667
7314987480,2043
7305140318,33530
7315008647,7553
7315695315,7468
7302216516,41358
7316849420,9390
7315979358,7386
7316792418,19587
7307261739,5141
7308033528,45681
7311676603,44131
7309801230,15850
7304225425,5996
7316585528,4257
7316107762,9804
7316031147,16274
7314213636,4009
7316710356,14664
7315183330,12590
7304118631,27557
7315998077,11105
7310799072,12817
7313384630,11987
7311518771,10404
7304262722,21350
7312283199,25945
7308257074,60460
7316265048,13753
7310519620,14549
7309924563,38506
7314638064,25493
7310570617,13598
7311485241,7447
7315338279,7069
7311705854,22874
7313805806,7984
7309366605,10771
7307246722,11203
7316331873,8869
7316707105,3613
7313983138,26705
7315281401,96143
7314663242,38922
7306775138,7131
7311533474,2760
7307064752,6420
7316431015,6992
7316667047,3288
7306935654,4147
7315342488,33444
7315231228,15403
7314624118,12529
7315354432,33338
7315853495,4914
7316043258,4004
7313056889,26908
7316162255,11091
7316203767,6654
7316254240,11529
7312399398,8655
7315145434,41616
7315004437,26243
7305625375,34933
7313914352,4704
7314514113,51687
7311337691,5381
7314538263,37834
7311850588,13833
7312509339,5669
7315013201,56765
7310034716,8711
7307348198,7125
7311534311,30808
7316889862,22312
7315684094,7516
7304533556,16421
7314928644,54326
7302157880,16029
7304129432,25079
7304159020,3732
7315082506,16383
7309443916,17300
7310227257,23508
7311679318,15148
7316495025,19922
7316368737,25753
7316735661,10659
7306093252,18706
7303256067,35875
7316465395,6822
7314542506,48111
7302109602,5340
7313343872,8719
7315354304,5438
7306639469,35470
7310688077,9094
7312023370,21126
7307266118,26834
7314830130,7876
7316878007,37334
7315336218,23753
7315368141,9419
7316542146,10474
7302516521,26391
7316593932,3339
7311420839,38925
7313069303,3431
7307680799,5659
7313287143,31960
7307169086,7017
7314415058,3735
7315010106,17757
7314002235,9793
7315993326,8920
7312989878,4354
7316851206,5430
7311506736,20097
7303164950,9395
7316927780,5494
7311676991,11678
7314490997,10933
7305468529,20697
7306823820,9911
7316521321,42839
7314683360,4268
7303004928,4289
7309683853,22686
7313572038,16198
7311974084,19316
7314684268,17319
7306364605,31365
7315085272,20280
7307083405,22304
7314403977,3495
7307285905,44968
7305693980,21466
7314187617,12851
7315111302,16324
7314586088,14108
7316360194,23654
7315527262,8971
7310749003,15380
7305203248,23419
7306983609,6975
7311504834,4711
7306507684,10565
7308201996,28016
7315172031,160383
7307705496,22648
7316774624,33479
7310539151,17512
7316878466,6197
7315272704,21808
7309886288,35631
7311784021,24736
7314830762,12495
7309260896,15496
7306353067,33322
7316293139,9387
7315280046,15688
7303760091,12521
7307757221,3592
7316331402,4162
7315372243,38931
7306934793,8084
7313766934,14454
7304685353,18088
7312266668,18536
7316163770,15625
7311503273,22438
7316132355,8816
7313487996,20146
7314717222,14588
7307901354,3003
7308140630,18965
7315848906,10286
7311492373,8763
7316685350,18671
7316253193,5867
7309047047,19705
7316754888,15516
7314385554,3386
7316866015,20180
7308204128,5364
7306165567,7080
7315169467,36947
7316443636,21403
7305958143,27226
7315974678,15050
7306097796,19596
7306147948,35081
7313892349,3934
7314276604,35113
7304756773,3559
7311054822,17201
7303150930,3043
7311995940,16744
7314635012,18915
7312367076,35975
7307168735,11146
7314751787,17103
7315517695,2733
7302896299,5961
7307916384,44210
7313282403,12754
7311574900,11402
7315604802,3957
7301752078,7195
7315137150,7287
7311070128,12012
7309322352,35156
7316647677,36056
7304160324,27456
7310798692,33087
7314283237,10604
7311480976,11817
7316183517,45526
7305607536,12959
7311739744,9648
7313728318,7844
7304123568,31817
7316295278,11047
7304234871,4355
7315961566,12353
7306165470,4207
7305192142,28720
7316816494,8927
7314190034,7990
7306100079,21302
7312925771,32432
7303362467,29414
7316256224,36527
7309291092,12686
7305217960,15452
7316662112,3129
7312291820,6670
7311313565,52867
7303593819,5288
7315307841,3519
7311402729,30424
7315217737,52500
7316889314,4493
7317032760,3927
7311703984,8322
7314573444,8006
7316960926,44393
7305353078,22770
7314441070,6609
7315687018,2755
7313628566,4866
7312041653,2877
7310706021,10994
7313902808,13418
7315317897,22687
7316326429,32676
7315531834,19330
7311573924,27342
7308459147,41817
7303110339,19921
7315391275,25474
7312644924,13500
7312772543,5205
7316282744,16015
7304522275,18486
7314928253,31208
7304630782,5837
7304184204,32301
7315858538,19855
7315279091,12794
7313616699,2646
7316795236,11937
7314323800,60165
7305112457,7672
7304722409,11286
7315060350,17718
7313507857,16185
7316557879,4371
7303741021,28973
7309161042,19158
7305868283,9215
7310954704,21645
7309190364,20426
7316894800,15029
7312764776,26530
7302982740,6884
7316907159,41565
7316284507,35182
7310431305,16284
7314954072,12029
7316515536,21960
7302570316,6090
7316877124,18354
7307504092,30164
7312802254,18308
7304480103,9906
7316818255,3836
7303866239,5354
7316106738,4390
7304229913,24913
7310533974,6378
7315250716,6860
7314491108,6280
7304731596,14982
7312318528,29416
7316353626,36598
7306640061,7916
7310980366,9893
7315734969,11517
7304302047,40564
7313317856,34748
7304697694,24150
7311522118,5748
7316611275,44902
7306258225,24851
7315938127,10720
7309414012,14309
7306514499,16253
7315259693,27407
7304399160,12036
7314712697,4070
7307940842,36940
7311773279,56780
